Order of Derivative, Order of Accuracy, ,Stencil
,,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
0,2,0,-0,0,-0,0,-0,0,1,-0,0,-0,0,-0,0,-0
0,4,0,-0,0,-0,0,-0,0,1,-0,0,-0,0,-0,0,-0
0,6,0,-0,0,-0,0,-0,0,1,-0,0,-0,0,-0,0,-0
0,8,0,-0,0,-0,0,-0,0,1,-0,0,-0,0,-0,0,-0
1,2,0,0,0,0,0,0,-0.5,0,0.5,0,0,0,0,0,0
1,4,0,0,0,0,0,0.0833333,-0.666667,0,0.666667,-0.0833333,0,0,0,0,0
1,6,0,0,0,0,-0.0166667,0.15,-0.75,-7.40149e-17,0.75,-0.15,0.0166667,0,0,0,0
1,8,0,0,0,0.00357143,-0.0380952,0.2,-0.8,-3.05311e-16,0.8,-0.2,0.0380952,-0.00357143,0,0,0
2,2,0,0,0,0,0,0,1,-2,1,0,0,0,0,0,0
2,4,0,0,0,0,0,-0.0833333,1.33333,-2.5,1.33333,-0.0833333,0,0,0,0,0
2,6,0,0,0,0,0.0111111,-0.15,1.5,-2.72222,1.5,-0.15,0.0111111,0,0,0,0
2,8,0,0,0,-0.00178571,0.0253968,-0.2,1.6,-2.84722,1.6,-0.2,0.0253968,-0.00178571,0,0,0
3,2,0,0,0,0,0,-0.5,1,0,-1,0.5,0,0,0,0,0
3,4,0,0,0,0,0.125,-1,1.625,0,-1.625,1,-0.125,0,0,0,0
3,6,0,0,0,-0.0291667,0.3,-1.40833,2.03333,-2.22045e-15,-2.03333,1.40833,-0.3,0.0291667,0,0,0
3,8,0,0,0.0067791,-0.0833995,0.483036,-1.73373,2.31806,-1.77636e-15,-2.31806,1.73373,-0.483036,0.0833995,-0.0067791,0,0
4,2,0,0,0,0,0,1,-4,6,-4,1,0,0,0,0,0
4,4,0,0,0,0,-0.166667,2,-6.5,9.33333,-6.5,2,-0.166667,0,0,0,0
4,6,0,0,0,0.0291667,-0.4,2.81667,-8.13333,11.375,-8.13333,2.81667,-0.4,0.0291667,0,0,0
4,8,0,0,-0.00542328,0.0833995,-0.644048,3.46746,-9.27222,12.7417,-9.27222,3.46746,-0.644048,0.0833995,-0.00542328,0,0
